rela,analogy_0,analogy_1,analogy_2,analogy_3,guess_0,guess_1,guess_2,guess_3,guess_4,status
procedure_has_excised_anatomy,adenoids,adenoidectomy,pancreas,pancreatectomy,cholecystectomy,hysterectomy,lobectomy,angioplasty,hepatectomy,False
procedure_has_excised_anatomy,adenoids,adenoidectomy,penis,penectomy,discectomy,myotomy,fundoplication,cholecystectomy,hysterectomy,False
procedure_has_excised_anatomy,adenoids,adenoidectomy,pericardium,pericardiectomy,discectomy,splenectomy,amputation,hysterectomy,oophorectomy,False
procedure_has_excised_anatomy,adenoids,adenoidectomy,pharynx,pharyngectomy,oophorectomy,amputation,extubation,hysterectomy,discectomy,False
procedure_has_excised_anatomy,adenoids,adenoidectomy,hypophysis,hypophysectomy,splenectomy,amputation,thymectomy,appendectomy,decortication,False
procedure_has_excised_anatomy,adenoids,adenoidectomy,prostate,prostatectomy,breast,tonsillectomy,adenotonsillectomy,apicectomy,ovariohysterectomy,False
procedure_has_excised_anatomy,adenoids,adenoidectomy,spleen,splenectomy,amputation,enucleation,stenting,transection,revascularization,False
procedure_has_excised_anatomy,adenoids,adenoidectomy,stomach,gastrectomy,hysterectomy,appendectomy,cholecystectomy,lobectomy,amputation,False
procedure_has_excised_anatomy,adenoids,adenoidectomy,thymus,thymectomy,amputation,splenectomy,enucleation,transection,revascularization,False
procedure_has_excised_anatomy,adenoids,adenoidectomy,thyroid,thyroidectomy,intravenous,percutaneous,topical,intramuscular,arthrocentesis,False
procedure_has_excised_anatomy,adenoids,adenoidectomy,tongue,glossectomy,appendectomy,splenectomy,polypectomy,paracentesis,parathyroidectomy,False
procedure_has_excised_anatomy,adenoids,adenoidectomy,uterus,hysterectomy,cholecystectomy,hysterectomy,lobectomy,nephrectomy,intubation,False
procedure_has_excised_anatomy,adenoids,adenoidectomy,vas-deferens,vasectomy,orthoptic,polyoxydonium,coronary-artery,corrective,intraarticular,False
procedure_has_excised_anatomy,adenoids,adenoidectomy,mastoid,mastoidectomy,ureteroneocystostomy,myringotomy,pericardiectomy,iort,lumpectomy,False
procedure_has_excised_anatomy,adenoids,adenoidectomy,tonsil,tonsillectomy,tonsillectomy,evisceration,pericardiocentesis,phlebotomy,appendicectomy,True
procedure_has_excised_anatomy,adrenal-gland,adrenalectomy,appendix,appendectomy,nephrectomy,surgery,hepatectomy,salpingo-oophorectomy,effusion,False
procedure_has_excised_anatomy,adrenal-gland,adrenalectomy,bladder,cystectomy,nephrectomy,cholecystectomy,hysterectomy,splenectomy,oophorectomy,False
procedure_has_excised_anatomy,adrenal-gland,adrenalectomy,breasts,mastectomy,ischemia,nephrectomy,hepatectomy,hemorrhage,fever,False
procedure_has_excised_anatomy,adrenal-gland,adrenalectomy,colon,colectomy,nephrectomy,ischemia,cholecystectomy,hepatectomy,hypertension,False
procedure_has_excised_anatomy,adrenal-gland,adrenalectomy,duodenum,duodenectomy,ischemia,surgery,infarction,effusion,nephrectomy,False
procedure_has_excised_anatomy,adrenal-gland,adrenalectomy,esophagus,esophagectomy,infarction,palsy,surgery,effusion,ischemia,False
procedure_has_excised_anatomy,adrenal-gland,adrenalectomy,fallopian-tube,salpingectomy,vagotomy,oophorectomy,mastectomy,nephrectomy,splenectomy,False
procedure_has_excised_anatomy,adrenal-gland,adrenalectomy,gallbladder,cholecystectomy,cholecystectomy,hysterectomy,splenectomy,nephrectomy,oophorectomy,True
procedure_has_excised_anatomy,adrenal-gland,adrenalectomy,gonads,orchiectomy,ischemia,hyperplasia,deprivation,hemorrhage,education,False
procedure_has_excised_anatomy,adrenal-gland,adrenalectomy,kidney,nephrectomy,nephrectomy,ischemia,hepatectomy,surgery,cholecystectomy,True
procedure_has_excised_anatomy,adrenal-gland,adrenalectomy,larynx,laryngectomy,nephrectomy,ischemia,hepatectomy,hemorrhage,fever,False
procedure_has_excised_anatomy,adrenal-gland,adrenalectomy,liver,hepatectomy,ischemia,nephrectomy,hepatectomy,surgery,hemorrhage,False
procedure_has_excised_anatomy,adrenal-gland,adrenalectomy,lung,pneumonectomy,nephrectomy,cholecystectomy,hysterectomy,splenectomy,oophorectomy,False
procedure_has_excised_anatomy,adrenal-gland,adrenalectomy,lymph-nodes,lymphadenectomy,menopause,cholecystectomy,obesity,hypothyroidism,splenectomy,False
procedure_has_excised_anatomy,adrenal-gland,adrenalectomy,mandible,mandibulectomy,nephrectomy,salpingo-oophorectomy,surgery,effusion,hepatectomy,False
procedure_has_excised_anatomy,adrenal-gland,adrenalectomy,maxilla,maxillectomy,salpingo-oophorectomy,effusion,palsy,nephrectomy,leukocytosis,False
procedure_has_excised_anatomy,adrenal-gland,adrenalectomy,ovaries,oophorectomy,ischemia,hyperplasia,irradiation,obstruction,resection,False
procedure_has_excised_anatomy,adrenal-gland,adrenalectomy,pancreas,pancreatectomy,ischemia,surgery,nephrectomy,hepatectomy,hemorrhage,False
procedure_has_excised_anatomy,adrenal-gland,adrenalectomy,penis,penectomy,nephrectomy,salpingo-oophorectomy,hemorrhage,effusion,hepatectomy,False
procedure_has_excised_anatomy,adrenal-gland,adrenalectomy,pericardium,pericardiectomy,nephrectomy,salpingo-oophorectomy,hemorrhage,hepatectomy,effusion,False
procedure_has_excised_anatomy,adrenal-gland,adrenalectomy,pharynx,pharyngectomy,fever,ischemia,edema,salpingo-oophorectomy,hemorrhage,False
procedure_has_excised_anatomy,adrenal-gland,adrenalectomy,hypophysis,hypophysectomy,steroids,hormones,hemorrhage,inflammation,nephrectomy,False
procedure_has_excised_anatomy,adrenal-gland,adrenalectomy,prostate,prostatectomy,cholecystectomy,splenectomy,hysterectomy,smoking,nephrectomy,False
procedure_has_excised_anatomy,adrenal-gland,adrenalectomy,spleen,splenectomy,ischemia,nephrectomy,hemorrhage,education,hyperplasia,False
procedure_has_excised_anatomy,adrenal-gland,adrenalectomy,stomach,gastrectomy,nephrectomy,ischemia,hemorrhage,hepatectomy,surgery,False
procedure_has_excised_anatomy,adrenal-gland,adrenalectomy,thymus,thymectomy,ischemia,hemorrhage,nephrectomy,education,deprivation,False
procedure_has_excised_anatomy,adrenal-gland,adrenalectomy,thyroid,thyroidectomy,splenectomy,oophorectomy,hysterectomy,vagotomy,cholecystectomy,False
procedure_has_excised_anatomy,adrenal-gland,adrenalectomy,tongue,glossectomy,nephrectomy,cholecystectomy,ischemia,fever,hemorrhage,False
procedure_has_excised_anatomy,adrenal-gland,adrenalectomy,uterus,hysterectomy,ischemia,effusion,nephrectomy,surgery,salpingo-oophorectomy,False
procedure_has_excised_anatomy,adrenal-gland,adrenalectomy,vas-deferens,vasectomy,splenectomy,vagotomy,menopause,oophorectomy,indomethacin,False
procedure_has_excised_anatomy,adrenal-gland,adrenalectomy,mastoid,mastoidectomy,splenectomy,cholecystectomy,nephrectomy,vagotomy,oophorectomy,False
procedure_has_excised_anatomy,adrenal-gland,adrenalectomy,tonsil,tonsillectomy,nephrectomy,hysterectomy,splenectomy,oophorectomy,cholecystectomy,False
procedure_has_excised_anatomy,appendix,appendectomy,bladder,cystectomy,tonsillectomy,appendicectomy,hypospadias,strabismus,adenoidectomy,False
procedure_has_excised_anatomy,appendix,appendectomy,breasts,mastectomy,burns,cholecystectomy,cryptorchidism,hyperlipidemia,appendicectomy,False
procedure_has_excised_anatomy,appendix,appendectomy,colon,colectomy,hypospadias,strabismus,tonsillectomy,appendicectomy,alcoholism,False
procedure_has_excised_anatomy,appendix,appendectomy,duodenum,duodenectomy,cholecystectomy,hysterectomy,asphyxia,menopause,trauma,False
procedure_has_excised_anatomy,appendix,appendectomy,esophagus,esophagectomy,cholecystectomy,hysterectomy,nephrectomy,seizures,hepatectomy,False
procedure_has_excised_anatomy,appendix,appendectomy,fallopian-tube,salpingectomy,dulanermin,endovesical,cyclocytidine,isoxicam,closantel,False
procedure_has_excised_anatomy,appendix,appendectomy,gallbladder,cholecystectomy,tonsillectomy,appendicectomy,hypospadias,strabismus,cryosurgery,False
procedure_has_excised_anatomy,appendix,appendectomy,gonads,orchiectomy,burns,infertility,ovulation,cryptorchidism,fertilization,False
procedure_has_excised_anatomy,appendix,appendectomy,kidney,nephrectomy,strabismus,tonsillectomy,hypospadias,alcoholism,appendicectomy,False
procedure_has_excised_anatomy,appendix,appendectomy,larynx,laryngectomy,cholecystectomy,appendicectomy,thrombolysis,ejaculation,hysterectomy,False
procedure_has_excised_anatomy,appendix,appendectomy,liver,hepatectomy,strabismus,ovulation,hypospadias,tonsillectomy,burns,False
procedure_has_excised_anatomy,appendix,appendectomy,lung,pneumonectomy,tonsillectomy,hypospadias,strabismus,appendicectomy,dysmenorrhoea,False
procedure_has_excised_anatomy,appendix,appendectomy,lymph-nodes,lymphadenectomy,gliogenesis,hiv-infection,drowning,beta-lipoproteins,bereavement,False
procedure_has_excised_anatomy,appendix,appendectomy,mandible,mandibulectomy,cholecystectomy,hysterectomy,thrombolysis,mastectomy,colectomy,False
procedure_has_excised_anatomy,appendix,appendectomy,maxilla,maxillectomy,cholecystectomy,hysterectomy,mastectomy,nephrectomy,menopause,False
procedure_has_excised_anatomy,appendix,appendectomy,ovaries,oophorectomy,mitochondria,leukocytes,burns,exudates,relapses,False
procedure_has_excised_anatomy,appendix,appendectomy,pancreas,pancreatectomy,cholecystectomy,hysterectomy,burns,thrombolysis,trauma,False
procedure_has_excised_anatomy,appendix,appendectomy,penis,penectomy,cholecystectomy,myomectomy,hysterectomy,thrombolysis,appendicectomy,False
procedure_has_excised_anatomy,appendix,appendectomy,pericardium,pericardiectomy,cholecystectomy,splenectomy,appendicectomy,hysterectomy,amputation,False
procedure_has_excised_anatomy,appendix,appendectomy,pharynx,pharyngectomy,hyperlipidemia,dyslipidemia,vimentin,extubation,cholecystectomy,False
procedure_has_excised_anatomy,appendix,appendectomy,hypophysis,hypophysectomy,ovulation,fibrinolysis,aneuploidy,electrolytes,demyelination,False
procedure_has_excised_anatomy,appendix,appendectomy,prostate,prostatectomy,breast,colorectal,ovarian,rectal,cervical,False
procedure_has_excised_anatomy,appendix,appendectomy,spleen,splenectomy,cryptorchidism,burns,infertility,ovulation,thrombolysis,False
procedure_has_excised_anatomy,appendix,appendectomy,stomach,gastrectomy,cholecystectomy,cryptorchidism,appendicectomy,hysterectomy,hyperlipidemia,False
procedure_has_excised_anatomy,appendix,appendectomy,thymus,thymectomy,infertility,cryptorchidism,burns,trauma,thrombolysis,False
procedure_has_excised_anatomy,appendix,appendectomy,thyroid,thyroidectomy,traumatic,musculoskeletal,steroid,endoscopic,rectal,False
procedure_has_excised_anatomy,appendix,appendectomy,tongue,glossectomy,appendicectomy,cryptorchidism,strabismus,urination,atopy,False
procedure_has_excised_anatomy,appendix,appendectomy,uterus,hysterectomy,cholecystectomy,hysterectomy,trauma,intubation,menopause,False
procedure_has_excised_anatomy,appendix,appendectomy,vas-deferens,vasectomy,coronary-artery,ecdeiocolea,tedral,plasminogen-activator-inhibitor,somatostatin-receptors,False
procedure_has_excised_anatomy,appendix,appendectomy,mastoid,mastoidectomy,bereavement,arthrocentesis,myringotomy,suxamethonium,corticosteroid,False
procedure_has_excised_anatomy,appendix,appendectomy,tonsil,tonsillectomy,strabismus,hypospadias,tonsillectomy,appendicectomy,dieting,False
procedure_has_excised_anatomy,bladder,cystectomy,breasts,mastectomy,nephrectomy,surgery,hepatectomy,gastrectomy,abdomen,False
procedure_has_excised_anatomy,bladder,cystectomy,colon,colectomy,nephrectomy,gastrectomy,hepatectomy,prostatectomy,hysterectomy,False
procedure_has_excised_anatomy,bladder,cystectomy,duodenum,duodenectomy,surgery,atrium,effusion,ventricle,fossa,False
procedure_has_excised_anatomy,bladder,cystectomy,esophagus,esophagectomy,palsy,fossa,surgery,infarction,fibrillation,False
procedure_has_excised_anatomy,bladder,cystectomy,fallopian-tube,salpingectomy,calf-muscles,alpha-rhythm,mambna,dihydrocodeinone,153sm-edtmp,False
procedure_has_excised_anatomy,bladder,cystectomy,gallbladder,cholecystectomy,mastectomy,colectomy,hysterectomy,vitrectomy,craniotomy,False
procedure_has_excised_anatomy,bladder,cystectomy,gonads,orchiectomy,resection,operation,ventricles,fluids,transplantation,False
procedure_has_excised_anatomy,bladder,cystectomy,kidney,nephrectomy,nephrectomy,gastrectomy,hepatectomy,surgery,prostatectomy,True
procedure_has_excised_anatomy,bladder,cystectomy,larynx,laryngectomy,nephrectomy,hepatectomy,osteotomy,gastrectomy,prostatectomy,False
procedure_has_excised_anatomy,bladder,cystectomy,liver,hepatectomy,nephrectomy,hepatectomy,surgery,gastrectomy,resection,False
procedure_has_excised_anatomy,bladder,cystectomy,lung,pneumonectomy,nephrectomy,hysterectomy,mastectomy,gastrectomy,colectomy,False
procedure_has_excised_anatomy,bladder,cystectomy,lymph-nodes,lymphadenectomy,mastectomy,thyroidectomy,mastoidectomy,colectomy,hysterectomy,False
procedure_has_excised_anatomy,bladder,cystectomy,mandible,mandibulectomy,osteotomy,fossa,surgery,nephrectomy,hepatectomy,False
procedure_has_excised_anatomy,bladder,cystectomy,maxilla,maxillectomy,fossa,palsy,atrium,hysterectomy,abdomen,False
procedure_has_excised_anatomy,bladder,cystectomy,ovaries,oophorectomy,resection,glands,transplantation,operation,scans,False
procedure_has_excised_anatomy,bladder,cystectomy,pancreas,pancreatectomy,surgery,nephrectomy,hepatectomy,gastrectomy,prostatectomy,False
procedure_has_excised_anatomy,bladder,cystectomy,penis,penectomy,osteotomy,craniectomy,nephrectomy,diverticulum,incision,False
procedure_has_excised_anatomy,bladder,cystectomy,pericardium,pericardiectomy,osteotomy,nephrectomy,craniectomy,incision,pelvis,False
procedure_has_excised_anatomy,bladder,cystectomy,pharynx,pharyngectomy,abdomen,septum,palate,fossa,nephrectomy,False
procedure_has_excised_anatomy,bladder,cystectomy,hypophysis,hypophysectomy,osteotomy,craniectomy,psychotherapy,incision,physiotherapy,False
procedure_has_excised_anatomy,bladder,cystectomy,prostate,prostatectomy,mastectomy,colectomy,thyroidectomy,hysterectomy,esophagectomy,False
procedure_has_excised_anatomy,bladder,cystectomy,spleen,splenectomy,resection,transplantation,nephrectomy,grafting,operation,False
procedure_has_excised_anatomy,bladder,cystectomy,stomach,gastrectomy,nephrectomy,gastrectomy,hepatectomy,surgery,prostatectomy,False
procedure_has_excised_anatomy,bladder,cystectomy,thymus,thymectomy,nephrectomy,resection,surgery,incision,cavity,False
procedure_has_excised_anatomy,bladder,cystectomy,thyroid,thyroidectomy,orchiectomy,tonsillectomy,mastectomy,vitrectomy,nephroureterectomy,False
procedure_has_excised_anatomy,bladder,cystectomy,tongue,glossectomy,nephrectomy,hepatectomy,hysterectomy,gastrectomy,osteotomy,False
procedure_has_excised_anatomy,bladder,cystectomy,uterus,hysterectomy,fossa,surgery,palsy,effusion,nephrectomy,False
procedure_has_excised_anatomy,bladder,cystectomy,vas-deferens,vasectomy,stercobilin,polyoxydonium,n-hydroxyamphetamine,cybernetics,choleglobin,False
procedure_has_excised_anatomy,bladder,cystectomy,mastoid,mastoidectomy,mastoidectomy,craniotomy,craniectomy,myotomy,sling,True
procedure_has_excised_anatomy,bladder,cystectomy,tonsil,tonsillectomy,mastectomy,nephrectomy,hysterectomy,colectomy,gastrectomy,False
procedure_has_excised_anatomy,breasts,mastectomy,colon,colectomy,tonsillectomy,pneumonectomy,hysterectomy,brachytherapy,trabeculectomy,False
procedure_has_excised_anatomy,breasts,mastectomy,duodenum,duodenectomy,nephrectomy,hepatectomy,hysterectomy,gastrectomy,cholecystectomy,False
procedure_has_excised_anatomy,breasts,mastectomy,esophagus,esophagectomy,nephrectomy,gastrectomy,cholecystectomy,prostatectomy,cystectomy,False
procedure_has_excised_anatomy,breasts,mastectomy,fallopian-tube,salpingectomy,endovesical,dulanermin,153sm-edtmp,rintatolimod,elesclomol,False
procedure_has_excised_anatomy,breasts,mastectomy,gallbladder,cholecystectomy,tonsillectomy,myringotomy,trabeculectomy,hemiarthroplasty,pleurodesis,False
procedure_has_excised_anatomy,breasts,mastectomy,gonads,orchiectomy,amputation,transfusion,shunting,thyroidectomy,denervation,False
procedure_has_excised_anatomy,breasts,mastectomy,kidney,nephrectomy,tonsillectomy,pneumonectomy,hysterectomy,thyroidectomy,radiotherapy,False
procedure_has_excised_anatomy,breasts,mastectomy,larynx,laryngectomy,hysterectomy,cholecystectomy,fundoplication,thyroidectomy,colectomy,False
procedure_has_excised_anatomy,breasts,mastectomy,liver,hepatectomy,radiotherapy,thyroidectomy,hysterectomy,pneumonectomy,tonsillectomy,False
procedure_has_excised_anatomy,breasts,mastectomy,lung,pneumonectomy,tonsillectomy,trabeculectomy,bladder,pancreatoduodenectomy,adenoidectomy,False
procedure_has_excised_anatomy,breasts,mastectomy,lymph-nodes,lymphadenectomy,pterygium,diving,electroshock,stapedectomy,thoracoplasty,False
procedure_has_excised_anatomy,breasts,mastectomy,mandible,mandibulectomy,cholecystectomy,nephrectomy,cystectomy,colectomy,gastrectomy,False
procedure_has_excised_anatomy,breasts,mastectomy,maxilla,maxillectomy,nephrectomy,cystectomy,gastrectomy,cholecystectomy,hysterectomy,False
procedure_has_excised_anatomy,breasts,mastectomy,ovaries,oophorectomy,radiotherapy,tissue,fluid,transfusion,transection,False
procedure_has_excised_anatomy,breasts,mastectomy,pancreas,pancreatectomy,cholecystectomy,nephrectomy,hysterectomy,thyroidectomy,gastrectomy,False
procedure_has_excised_anatomy,breasts,mastectomy,penis,penectomy,fundoplication,craniectomy,cystectomy,cholecystectomy,hysterectomy,False
procedure_has_excised_anatomy,breasts,mastectomy,pericardium,pericardiectomy,hysterectomy,craniectomy,nephrectomy,cholecystectomy,fundoplication,False
procedure_has_excised_anatomy,breasts,mastectomy,pharynx,pharyngectomy,nephrectomy,hysterectomy,cholecystectomy,craniectomy,lobectomy,False
procedure_has_excised_anatomy,breasts,mastectomy,hypophysis,hypophysectomy,shunting,tracheotomy,craniectomy,commissurotomy,autograft,False
procedure_has_excised_anatomy,breasts,mastectomy,prostate,prostatectomy,breast,colorectal,rectal,cervical,tonsillectomy,False
procedure_has_excised_anatomy,breasts,mastectomy,spleen,splenectomy,radiotherapy,hysterectomy,amputation,thyroidectomy,nephrectomy,False
procedure_has_excised_anatomy,breasts,mastectomy,stomach,gastrectomy,hysterectomy,cholecystectomy,thyroidectomy,nephrectomy,colectomy,False
procedure_has_excised_anatomy,breasts,mastectomy,thymus,thymectomy,hysterectomy,thyroidectomy,nephrectomy,amputation,cholecystectomy,False
procedure_has_excised_anatomy,breasts,mastectomy,thyroid,thyroidectomy,traumatic,percutaneous,endoscopic,steroid,intra-articular,False
procedure_has_excised_anatomy,breasts,mastectomy,tongue,glossectomy,hysterectomy,tonsillectomy,thrombolysis,tracheostomy,colostomy,False
procedure_has_excised_anatomy,breasts,mastectomy,uterus,hysterectomy,nephrectomy,cholecystectomy,cystectomy,hysterectomy,gastrectomy,False
procedure_has_excised_anatomy,breasts,mastectomy,vas-deferens,vasectomy,coronary-artery,scar-tissue,skeletal-muscle,polyoxydonium,brain-tissue,False
procedure_has_excised_anatomy,breasts,mastectomy,mastoid,mastoidectomy,lumpectomy,choledochoduodenostomy,gastroenterostomy,myringotomy,tourniquet,False
procedure_has_excised_anatomy,breasts,mastectomy,tonsil,tonsillectomy,tonsillectomy,liposuction,adenoidectomy,myringotomy,trabeculectomy,True
procedure_has_excised_anatomy,colon,colectomy,duodenum,duodenectomy,nephrectomy,hepatectomy,gastrectomy,osteotomy,surgery,False
procedure_has_excised_anatomy,colon,colectomy,esophagus,esophagectomy,nephrectomy,gastrectomy,hepatectomy,osteotomy,pancreatectomy,False
procedure_has_excised_anatomy,colon,colectomy,fallopian-tube,salpingectomy,doz,co2-laser,egfr-inhibitor,ethyl-epa,"1,3-dioleoyl-2-palmitoylglycerol",False
procedure_has_excised_anatomy,colon,colectomy,gallbladder,cholecystectomy,urethroplasty,vitrectomy,myomectomy,craniotomy,colostomy,False
procedure_has_excised_anatomy,colon,colectomy,gonads,orchiectomy,resection,osteotomy,incision,nephrectomy,operation,False
procedure_has_excised_anatomy,colon,colectomy,kidney,nephrectomy,nephrectomy,gastrectomy,lobectomy,cystectomy,thyroidectomy,True
procedure_has_excised_anatomy,colon,colectomy,larynx,laryngectomy,craniectomy,osteotomy,nephrectomy,cystectomy,fundoplication,False
procedure_has_excised_anatomy,colon,colectomy,liver,hepatectomy,nephrectomy,lobectomy,gastrectomy,cystectomy,thyroidectomy,False
procedure_has_excised_anatomy,colon,colectomy,lung,pneumonectomy,hysterectomy,mastectomy,lobectomy,thyroidectomy,esophagectomy,False
procedure_has_excised_anatomy,colon,colectomy,lymph-nodes,lymphadenectomy,urethroplasty,tracheotomy,tonsillectomy,trabeculectomy,myomectomy,False
procedure_has_excised_anatomy,colon,colectomy,mandible,mandibulectomy,craniectomy,osteotomy,nephrectomy,gastrectomy,hepatectomy,False
procedure_has_excised_anatomy,colon,colectomy,maxilla,maxillectomy,craniectomy,osteotomy,nephrectomy,hemicolectomy,gastrectomy,False
procedure_has_excised_anatomy,colon,colectomy,ovaries,oophorectomy,resection,grafting,operation,embolization,transplantation,False
procedure_has_excised_anatomy,colon,colectomy,pancreas,pancreatectomy,hepatectomy,nephrectomy,gastrectomy,pancreatectomy,lobectomy,False
procedure_has_excised_anatomy,colon,colectomy,penis,penectomy,craniectomy,osteotomy,myotomy,sternotomy,cystectomy,False
procedure_has_excised_anatomy,colon,colectomy,pericardium,pericardiectomy,craniectomy,osteotomy,nephrectomy,myotomy,sternotomy,False
procedure_has_excised_anatomy,colon,colectomy,pharynx,pharyngectomy,craniectomy,osteotomy,nephrectomy,incision,sternotomy,False
procedure_has_excised_anatomy,colon,colectomy,hypophysis,hypophysectomy,craniectomy,osteotomy,myotomy,incision,physiotherapy,False
procedure_has_excised_anatomy,colon,colectomy,prostate,prostatectomy,tonsillectomy,pancreaticoduodenectomy,pancreatoduodenectomy,esophagectomy,adenoidectomy,False
procedure_has_excised_anatomy,colon,colectomy,spleen,splenectomy,nephrectomy,lobectomy,stenting,resection,incision,False
procedure_has_excised_anatomy,colon,colectomy,stomach,gastrectomy,nephrectomy,lobectomy,gastrectomy,cystectomy,hepatectomy,False
procedure_has_excised_anatomy,colon,colectomy,thymus,thymectomy,nephrectomy,craniectomy,osteotomy,incision,hepatectomy,False
procedure_has_excised_anatomy,colon,colectomy,thyroid,thyroidectomy,pericardiectomy,pancreatoduodenectomy,tonsillectomy,salpingectomy,orchiopexy,False
procedure_has_excised_anatomy,colon,colectomy,tongue,glossectomy,craniotomy,thoracotomy,craniectomy,lobectomy,hysterectomy,False
procedure_has_excised_anatomy,colon,colectomy,uterus,hysterectomy,craniectomy,osteotomy,nephrectomy,hepatectomy,incision,False
procedure_has_excised_anatomy,colon,colectomy,vas-deferens,vasectomy,polyoxydonium,c11orf95,scar-tissue,hydrobupropion,sarafotoxin-s6b,False
procedure_has_excised_anatomy,colon,colectomy,mastoid,mastoidectomy,lumpectomy,gastroenterostomy,gastrojejunostomy,tracheotomy,colostomy,False
procedure_has_excised_anatomy,colon,colectomy,tonsil,tonsillectomy,craniotomy,mastectomy,thoracotomy,vitrectomy,hysterectomy,False
procedure_has_excised_anatomy,duodenum,duodenectomy,esophagus,esophagectomy,pancreatectomy,laryngectomy,glossectomy,mandibulectomy,gastrectomy,False
procedure_has_excised_anatomy,duodenum,duodenectomy,fallopian-tube,salpingectomy,1v136,endovesical,ags-499,cardiogenin,doz,False
procedure_has_excised_anatomy,duodenum,duodenectomy,gallbladder,cholecystectomy,patellectomy,colpocleisis,pericardiectomy,gargling,ureteroneocystostomy,False
procedure_has_excised_anatomy,duodenum,duodenectomy,gonads,orchiectomy,enterectomy,devascularization,mandibulectomy,embolisation,pleurectomy,False
procedure_has_excised_anatomy,duodenum,duodenectomy,kidney,nephrectomy,mandibulectomy,pleurectomy,pancreatoduodenectomy,pericardiectomy,pancreaticoduodenectomy,False
procedure_has_excised_anatomy,duodenum,duodenectomy,larynx,laryngectomy,glossectomy,mandibulectomy,pancreatectomy,patellectomy,fundoplication,False
procedure_has_excised_anatomy,duodenum,duodenectomy,liver,hepatectomy,mandibulectomy,pleurectomy,duodenopancreatectomy,pericardiectomy,pancreatoduodenectomy,False
procedure_has_excised_anatomy,duodenum,duodenectomy,lung,pneumonectomy,pleurectomy,pericardiectomy,patellectomy,colpocleisis,ureteroneocystostomy,False
procedure_has_excised_anatomy,duodenum,duodenectomy,lymph-nodes,lymphadenectomy,colpocleisis,viscocanalostomy,talectomy,patellectomy,small-bowel,False
procedure_has_excised_anatomy,duodenum,duodenectomy,mandible,mandibulectomy,glossectomy,mandibulectomy,pancreatectomy,colectomy,fundoplication,False
procedure_has_excised_anatomy,duodenum,duodenectomy,maxilla,maxillectomy,mandibulectomy,pancreatectomy,glossectomy,colectomy,ureterectomy,False
procedure_has_excised_anatomy,duodenum,duodenectomy,ovaries,oophorectomy,mandibulectomy,embolisation,enterectomy,devascularization,embolization,False
procedure_has_excised_anatomy,duodenum,duodenectomy,pancreas,pancreatectomy,pancreatectomy,mandibulectomy,glossectomy,colectomy,laryngectomy,True
