: procedure_has_excised_anatomy
adenoids adenoidectomy adrenal-gland adrenalectomy
adrenal-gland adrenalectomy maxilla maxillectomy
adrenal-gland adrenalectomy ovaries oophorectomy
adrenal-gland adrenalectomy pancreas pancreatectomy
adrenal-gland adrenalectomy penis penectomy
adrenal-gland adrenalectomy pericardium pericardiectomy
adrenal-gland adrenalectomy pharynx pharyngectomy
adrenal-gland adrenalectomy hypophysis hypophysectomy
adrenal-gland adrenalectomy prostate prostatectomy
adrenal-gland adrenalectomy spleen splenectomy
adrenal-gland adrenalectomy stomach gastrectomy
adrenal-gland adrenalectomy thymus thymectomy
adrenal-gland adrenalectomy thyroid thyroidectomy
adrenal-gland adrenalectomy tongue glossectomy
adrenal-gland adrenalectomy uterus hysterectomy
adrenal-gland adrenalectomy vas-deferens vasectomy
adrenal-gland adrenalectomy mastoid mastoidectomy
adrenal-gland adrenalectomy tonsil tonsillectomy
appendix appendectomy bladder cystectomy
appendix appendectomy breasts mastectomy
appendix appendectomy colon colectomy
appendix appendectomy duodenum duodenectomy
appendix appendectomy esophagus esophagectomy
appendix appendectomy fallopian-tube salpingectomy
appendix appendectomy gallbladder cholecystectomy
appendix appendectomy gonads orchiectomy
appendix appendectomy kidney nephrectomy
appendix appendectomy larynx laryngectomy
appendix appendectomy liver hepatectomy
appendix appendectomy lung pneumonectomy
appendix appendectomy lymph-nodes lymphadenectomy
appendix appendectomy mandible mandibulectomy
appendix appendectomy maxilla maxillectomy
appendix appendectomy ovaries oophorectomy
appendix appendectomy pancreas pancreatectomy
appendix appendectomy penis penectomy
appendix appendectomy pericardium pericardiectomy
appendix appendectomy pharynx pharyngectomy
appendix appendectomy hypophysis hypophysectomy
appendix appendectomy prostate prostatectomy
appendix appendectomy spleen splenectomy
appendix appendectomy stomach gastrectomy
appendix appendectomy thymus thymectomy
appendix appendectomy thyroid thyroidectomy
appendix appendectomy tongue glossectomy
appendix appendectomy uterus hysterectomy
appendix appendectomy vas-deferens vasectomy
appendix appendectomy mastoid mastoidectomy
appendix appendectomy tonsil tonsillectomy
bladder cystectomy breasts mastectomy
bladder cystectomy colon colectomy
bladder cystectomy duodenum duodenectomy
bladder cystectomy esophagus esophagectomy
bladder cystectomy fallopian-tube salpingectomy
bladder cystectomy gallbladder cholecystectomy
bladder cystectomy gonads orchiectomy
bladder cystectomy kidney nephrectomy
bladder cystectomy larynx laryngectomy
bladder cystectomy liver hepatectomy
bladder cystectomy lung pneumonectomy
bladder cystectomy lymph-nodes lymphadenectomy
bladder cystectomy mandible mandibulectomy
bladder cystectomy maxilla maxillectomy
bladder cystectomy ovaries oophorectomy
bladder cystectomy pancreas pancreatectomy
bladder cystectomy penis penectomy
bladder cystectomy pericardium pericardiectomy
bladder cystectomy pharynx pharyngectomy
bladder cystectomy hypophysis hypophysectomy
bladder cystectomy prostate prostatectomy
bladder cystectomy spleen splenectomy
bladder cystectomy stomach gastrectomy
bladder cystectomy thymus thymectomy
bladder cystectomy thyroid thyroidectomy
bladder cystectomy tongue glossectomy
bladder cystectomy uterus hysterectomy
bladder cystectomy vas-deferens vasectomy
bladder cystectomy mastoid mastoidectomy
bladder cystectomy tonsil tonsillectomy
breasts mastectomy colon colectomy
breasts mastectomy duodenum duodenectomy
breasts mastectomy esophagus esophagectomy
breasts mastectomy fallopian-tube salpingectomy
breasts mastectomy gallbladder cholecystectomy
breasts mastectomy gonads orchiectomy
breasts mastectomy kidney nephrectomy
breasts mastectomy larynx laryngectomy
breasts mastectomy liver hepatectomy
breasts mastectomy lung pneumonectomy
breasts mastectomy lymph-nodes lymphadenectomy
breasts mastectomy mandible mandibulectomy
breasts mastectomy maxilla maxillectomy
breasts mastectomy ovaries oophorectomy
breasts mastectomy pancreas pancreatectomy
breasts mastectomy penis penectomy
breasts mastectomy pericardium pericardiectomy
breasts mastectomy pharynx pharyngectomy
breasts mastectomy hypophysis hypophysectomy
breasts mastectomy prostate prostatectomy
breasts mastectomy spleen splenectomy
breasts mastectomy stomach gastrectomy
breasts mastectomy thymus thymectomy
breasts mastectomy thyroid thyroidectomy
breasts mastectomy tongue glossectomy
breasts mastectomy uterus hysterectomy
breasts mastectomy vas-deferens vasectomy
breasts mastectomy mastoid mastoidectomy
breasts mastectomy tonsil tonsillectomy
colon colectomy duodenum duodenectomy
colon colectomy esophagus esophagectomy
colon colectomy fallopian-tube salpingectomy
colon colectomy gallbladder cholecystectomy
colon colectomy gonads orchiectomy
colon colectomy kidney nephrectomy
colon colectomy larynx laryngectomy
colon colectomy liver hepatectomy
colon colectomy lung pneumonectomy
colon colectomy lymph-nodes lymphadenectomy
colon colectomy mandible mandibulectomy
colon colectomy maxilla maxillectomy
colon colectomy ovaries oophorectomy
colon colectomy pancreas pancreatectomy
colon colectomy penis penectomy
colon colectomy pericardium pericardiectomy
colon colectomy pharynx pharyngectomy
colon colectomy hypophysis hypophysectomy
colon colectomy prostate prostatectomy
colon colectomy spleen splenectomy
colon colectomy stomach gastrectomy
colon colectomy thymus thymectomy
colon colectomy thyroid thyroidectomy
colon colectomy tongue glossectomy
colon colectomy uterus hysterectomy
colon colectomy vas-deferens vasectomy
colon colectomy mastoid mastoidectomy
colon colectomy tonsil tonsillectomy
duodenum duodenectomy esophagus esophagectomy
duodenum duodenectomy fallopian-tube salpingectomy
duodenum duodenectomy gallbladder cholecystectomy
duodenum duodenectomy gonads orchiectomy
duodenum duodenectomy kidney nephrectomy
duodenum duodenectomy larynx laryngectomy
duodenum duodenectomy liver hepatectomy
duodenum duodenectomy lung pneumonectomy
duodenum duodenectomy lymph-nodes lymphadenectomy
duodenum duodenectomy mandible mandibulectomy
duodenum duodenectomy maxilla maxillectomy
duodenum duodenectomy ovaries oophorectomy
duodenum duodenectomy pancreas pancreatectomy
duodenum duodenectomy penis penectomy
duodenum duodenectomy pericardium pericardiectomy
duodenum duodenectomy pharynx pharyngectomy
duodenum duodenectomy hypophysis hypophysectomy
duodenum duodenectomy prostate prostatectomy
duodenum duodenectomy spleen splenectomy
duodenum duodenectomy stomach gastrectomy
duodenum duodenectomy thymus thymectomy
duodenum duodenectomy thyroid thyroidectomy
duodenum duodenectomy tongue glossectomy
duodenum duodenectomy uterus hysterectomy
duodenum duodenectomy vas-deferens vasectomy
duodenum duodenectomy mastoid mastoidectomy
duodenum duodenectomy tonsil tonsillectomy
esophagus esophagectomy fallopian-tube salpingectomy
esophagus esophagectomy gallbladder cholecystectomy
esophagus esophagectomy gonads orchiectomy
esophagus esophagectomy kidney nephrectomy
esophagus esophagectomy larynx laryngectomy
esophagus esophagectomy liver hepatectomy
esophagus esophagectomy lung pneumonectomy
esophagus esophagectomy lymph-nodes lymphadenectomy
esophagus esophagectomy mandible mandibulectomy
esophagus esophagectomy maxilla maxillectomy
esophagus esophagectomy ovaries oophorectomy
esophagus esophagectomy pancreas pancreatectomy
esophagus esophagectomy penis penectomy
esophagus esophagectomy pericardium pericardiectomy
esophagus esophagectomy pharynx pharyngectomy
esophagus esophagectomy hypophysis hypophysectomy
esophagus esophagectomy prostate prostatectomy
esophagus esophagectomy spleen splenectomy
esophagus esophagectomy stomach gastrectomy
esophagus esophagectomy thymus thymectomy
esophagus esophagectomy thyroid thyroidectomy
esophagus esophagectomy tongue glossectomy
esophagus esophagectomy uterus hysterectomy
esophagus esophagectomy vas-deferens vasectomy
esophagus esophagectomy mastoid mastoidectomy
esophagus esophagectomy tonsil tonsillectomy
fallopian-tube salpingectomy gallbladder cholecystectomy
fallopian-tube salpingectomy gonads orchiectomy
fallopian-tube salpingectomy kidney nephrectomy
fallopian-tube salpingectomy larynx laryngectomy
fallopian-tube salpingectomy liver hepatectomy
fallopian-tube salpingectomy lung pneumonectomy
fallopian-tube salpingectomy lymph-nodes lymphadenectomy
fallopian-tube salpingectomy mandible mandibulectomy
fallopian-tube salpingectomy maxilla maxillectomy
fallopian-tube salpingectomy ovaries oophorectomy
fallopian-tube salpingectomy pancreas pancreatectomy
fallopian-tube salpingectomy penis penectomy
fallopian-tube salpingectomy pericardium pericardiectomy
fallopian-tube salpingectomy pharynx pharyngectomy
fallopian-tube salpingectomy hypophysis hypophysectomy
fallopian-tube salpingectomy prostate prostatectomy
fallopian-tube salpingectomy spleen splenectomy
fallopian-tube salpingectomy stomach gastrectomy
fallopian-tube salpingectomy thymus thymectomy
fallopian-tube salpingectomy thyroid thyroidectomy
fallopian-tube salpingectomy tongue glossectomy
fallopian-tube salpingectomy uterus hysterectomy
fallopian-tube salpingectomy vas-deferens vasectomy
fallopian-tube salpingectomy mastoid mastoidectomy
fallopian-tube salpingectomy tonsil tonsillectomy
gallbladder cholecystectomy gonads orchiectomy
gallbladder cholecystectomy kidney nephrectomy
gallbladder cholecystectomy larynx laryngectomy
gallbladder cholecystectomy liver hepatectomy
gallbladder cholecystectomy lung pneumonectomy
gallbladder cholecystectomy lymph-nodes lymphadenectomy
gallbladder cholecystectomy mandible mandibulectomy
gallbladder cholecystectomy maxilla maxillectomy
gallbladder cholecystectomy ovaries oophorectomy
gallbladder cholecystectomy pancreas pancreatectomy
gallbladder cholecystectomy penis penectomy
gallbladder cholecystectomy pericardium pericardiectomy
gallbladder cholecystectomy pharynx pharyngectomy
gallbladder cholecystectomy hypophysis hypophysectomy
gallbladder cholecystectomy prostate prostatectomy
gallbladder cholecystectomy spleen splenectomy
gallbladder cholecystectomy stomach gastrectomy
gallbladder cholecystectomy thymus thymectomy
gallbladder cholecystectomy thyroid thyroidectomy
gallbladder cholecystectomy tongue glossectomy
gallbladder cholecystectomy uterus hysterectomy
gallbladder cholecystectomy vas-deferens vasectomy
gallbladder cholecystectomy mastoid mastoidectomy
gallbladder cholecystectomy tonsil tonsillectomy
gonads orchiectomy kidney nephrectomy
gonads orchiectomy larynx laryngectomy
gonads orchiectomy liver hepatectomy
gonads orchiectomy lung pneumonectomy
gonads orchiectomy lymph-nodes lymphadenectomy
gonads orchiectomy mandible mandibulectomy
gonads orchiectomy maxilla maxillectomy
gonads orchiectomy ovaries oophorectomy
gonads orchiectomy pancreas pancreatectomy
gonads orchiectomy penis penectomy
gonads orchiectomy pericardium pericardiectomy
gonads orchiectomy pharynx pharyngectomy
gonads orchiectomy hypophysis hypophysectomy
gonads orchiectomy prostate prostatectomy
gonads orchiectomy spleen splenectomy
gonads orchiectomy stomach gastrectomy
gonads orchiectomy thymus thymectomy
gonads orchiectomy thyroid thyroidectomy
gonads orchiectomy tongue glossectomy
gonads orchiectomy uterus hysterectomy
gonads orchiectomy vas-deferens vasectomy
gonads orchiectomy mastoid mastoidectomy
gonads orchiectomy tonsil tonsillectomy
kidney nephrectomy larynx laryngectomy
kidney nephrectomy liver hepatectomy
kidney nephrectomy lung pneumonectomy
kidney nephrectomy lymph-nodes lymphadenectomy
kidney nephrectomy mandible mandibulectomy
kidney nephrectomy maxilla maxillectomy
kidney nephrectomy ovaries oophorectomy
kidney nephrectomy pancreas pancreatectomy
kidney nephrectomy penis penectomy
kidney nephrectomy pericardium pericardiectomy
kidney nephrectomy pharynx pharyngectomy
kidney nephrectomy hypophysis hypophysectomy
kidney nephrectomy prostate prostatectomy
kidney nephrectomy spleen splenectomy
kidney nephrectomy stomach gastrectomy
kidney nephrectomy thymus thymectomy
kidney nephrectomy thyroid thyroidectomy
kidney nephrectomy tongue glossectomy
kidney nephrectomy uterus hysterectomy
kidney nephrectomy vas-deferens vasectomy
kidney nephrectomy mastoid mastoidectomy
kidney nephrectomy tonsil tonsillectomy
larynx laryngectomy liver hepatectomy
larynx laryngectomy lung pneumonectomy
larynx laryngectomy lymph-nodes lymphadenectomy
larynx laryngectomy mandible mandibulectomy
larynx laryngectomy maxilla maxillectomy
larynx laryngectomy ovaries oophorectomy
larynx laryngectomy pancreas pancreatectomy
larynx laryngectomy penis penectomy
larynx laryngectomy pericardium pericardiectomy
larynx laryngectomy pharynx pharyngectomy
larynx laryngectomy hypophysis hypophysectomy
larynx laryngectomy prostate prostatectomy
larynx laryngectomy spleen splenectomy
larynx laryngectomy stomach gastrectomy
larynx laryngectomy thymus thymectomy
larynx laryngectomy thyroid thyroidectomy
larynx laryngectomy tongue glossectomy
larynx laryngectomy uterus hysterectomy
larynx laryngectomy vas-deferens vasectomy
larynx laryngectomy mastoid mastoidectomy
larynx laryngectomy tonsil tonsillectomy
liver hepatectomy lung pneumonectomy
liver hepatectomy lymph-nodes lymphadenectomy
liver hepatectomy mandible mandibulectomy
liver hepatectomy maxilla maxillectomy
liver hepatectomy ovaries oophorectomy
liver hepatectomy pancreas pancreatectomy
liver hepatectomy penis penectomy
liver hepatectomy pericardium pericardiectomy
liver hepatectomy pharynx pharyngectomy
liver hepatectomy hypophysis hypophysectomy
liver hepatectomy prostate prostatectomy
liver hepatectomy spleen splenectomy
liver hepatectomy stomach gastrectomy
liver hepatectomy thymus thymectomy
liver hepatectomy thyroid thyroidectomy
liver hepatectomy tongue glossectomy
liver hepatectomy uterus hysterectomy
liver hepatectomy vas-deferens vasectomy
liver hepatectomy mastoid mastoidectomy
liver hepatectomy tonsil tonsillectomy
lung pneumonectomy lymph-nodes lymphadenectomy
lung pneumonectomy mandible mandibulectomy
lung pneumonectomy maxilla maxillectomy
lung pneumonectomy ovaries oophorectomy
lung pneumonectomy pancreas pancreatectomy
lung pneumonectomy penis penectomy
lung pneumonectomy pericardium pericardiectomy
lung pneumonectomy pharynx pharyngectomy
lung pneumonectomy hypophysis hypophysectomy
lung pneumonectomy prostate prostatectomy
lung pneumonectomy spleen splenectomy
lung pneumonectomy stomach gastrectomy
lung pneumonectomy thymus thymectomy
lung pneumonectomy thyroid thyroidectomy
lung pneumonectomy tongue glossectomy
lung pneumonectomy uterus hysterectomy
lung pneumonectomy vas-deferens vasectomy
lung pneumonectomy mastoid mastoidectomy
lung pneumonectomy tonsil tonsillectomy
lymph-nodes lymphadenectomy mandible mandibulectomy
lymph-nodes lymphadenectomy maxilla maxillectomy
lymph-nodes lymphadenectomy ovaries oophorectomy
lymph-nodes lymphadenectomy pancreas pancreatectomy
lymph-nodes lymphadenectomy penis penectomy
lymph-nodes lymphadenectomy pericardium pericardiectomy
lymph-nodes lymphadenectomy pharynx pharyngectomy
lymph-nodes lymphadenectomy hypophysis hypophysectomy
lymph-nodes lymphadenectomy prostate prostatectomy
lymph-nodes lymphadenectomy spleen splenectomy
lymph-nodes lymphadenectomy stomach gastrectomy
lymph-nodes lymphadenectomy thymus thymectomy
lymph-nodes lymphadenectomy thyroid thyroidectomy
lymph-nodes lymphadenectomy tongue glossectomy
lymph-nodes lymphadenectomy uterus hysterectomy
lymph-nodes lymphadenectomy vas-deferens vasectomy
lymph-nodes lymphadenectomy mastoid mastoidectomy
lymph-nodes lymphadenectomy tonsil tonsillectomy
mandible mandibulectomy maxilla maxillectomy
mandible mandibulectomy ovaries oophorectomy
mandible mandibulectomy pancreas pancreatectomy
mandible mandibulectomy penis penectomy
mandible mandibulectomy pericardium pericardiectomy
mandible mandibulectomy pharynx pharyngectomy
mandible mandibulectomy hypophysis hypophysectomy
mandible mandibulectomy prostate prostatectomy
mandible mandibulectomy spleen splenectomy
mandible mandibulectomy stomach gastrectomy
mandible mandibulectomy thymus thymectomy
mandible mandibulectomy thyroid thyroidectomy
mandible mandibulectomy tongue glossectomy
mandible mandibulectomy uterus hysterectomy
mandible mandibulectomy vas-deferens vasectomy
mandible mandibulectomy mastoid mastoidectomy
mandible mandibulectomy tonsil tonsillectomy
maxilla maxillectomy ovaries oophorectomy
maxilla maxillectomy pancreas pancreatectomy
maxilla maxillectomy penis penectomy
maxilla maxillectomy pericardium pericardiectomy
maxilla maxillectomy pharynx pharyngectomy
maxilla maxillectomy hypophysis hypophysectomy
maxilla maxillectomy prostate prostatectomy
maxilla maxillectomy spleen splenectomy
maxilla maxillectomy stomach gastrectomy
maxilla maxillectomy thymus thymectomy
maxilla maxillectomy thyroid thyroidectomy
maxilla maxillectomy tongue glossectomy
maxilla maxillectomy uterus hysterectomy
maxilla maxillectomy vas-deferens vasectomy
maxilla maxillectomy mastoid mastoidectomy
maxilla maxillectomy tonsil tonsillectomy
ovaries oophorectomy pancreas pancreatectomy
ovaries oophorectomy penis penectomy
ovaries oophorectomy pericardium pericardiectomy
ovaries oophorectomy pharynx pharyngectomy
ovaries oophorectomy hypophysis hypophysectomy
ovaries oophorectomy prostate prostatectomy
ovaries oophorectomy spleen splenectomy
ovaries oophorectomy stomach gastrectomy
ovaries oophorectomy thymus thymectomy
ovaries oophorectomy thyroid thyroidectomy
ovaries oophorectomy tongue glossectomy
ovaries oophorectomy uterus hysterectomy
ovaries oophorectomy vas-deferens vasectomy
ovaries oophorectomy mastoid mastoidectomy
ovaries oophorectomy tonsil tonsillectomy
pancreas pancreatectomy penis penectomy
pancreas pancreatectomy pericardium pericardiectomy
pancreas pancreatectomy pharynx pharyngectomy
pancreas pancreatectomy hypophysis hypophysectomy
pancreas pancreatectomy prostate prostatectomy
pancreas pancreatectomy spleen splenectomy
pancreas pancreatectomy stomach gastrectomy
pancreas pancreatectomy thymus thymectomy
pancreas pancreatectomy thyroid thyroidectomy
pancreas pancreatectomy tongue glossectomy
pancreas pancreatectomy uterus hysterectomy
pancreas pancreatectomy vas-deferens vasectomy
pancreas pancreatectomy mastoid mastoidectomy
pancreas pancreatectomy tonsil tonsillectomy
penis penectomy pericardium pericardiectomy
penis penectomy pharynx pharyngectomy
penis penectomy hypophysis hypophysectomy
penis penectomy prostate prostatectomy
penis penectomy spleen splenectomy
penis penectomy stomach gastrectomy
penis penectomy thymus thymectomy
penis penectomy thyroid thyroidectomy
penis penectomy tongue glossectomy
penis penectomy uterus hysterectomy
penis penectomy vas-deferens vasectomy
penis penectomy mastoid mastoidectomy
penis penectomy tonsil tonsillectomy
pericardium pericardiectomy pharynx pharyngectomy
pericardium pericardiectomy hypophysis hypophysectomy
pericardium pericardiectomy prostate prostatectomy
pericardium pericardiectomy spleen splenectomy
pericardium pericardiectomy stomach gastrectomy
pericardium pericardiectomy thymus thymectomy
pericardium pericardiectomy thyroid thyroidectomy
pericardium pericardiectomy tongue glossectomy
pericardium pericardiectomy uterus hysterectomy
pericardium pericardiectomy vas-deferens vasectomy
pericardium pericardiectomy mastoid mastoidectomy
pericardium pericardiectomy tonsil tonsillectomy
pharynx pharyngectomy hypophysis hypophysectomy
pharynx pharyngectomy prostate prostatectomy
pharynx pharyngectomy spleen splenectomy
pharynx pharyngectomy stomach gastrectomy
pharynx pharyngectomy thymus thymectomy
pharynx pharyngectomy thyroid thyroidectomy
pharynx pharyngectomy tongue glossectomy
pharynx pharyngectomy uterus hysterectomy
pharynx pharyngectomy vas-deferens vasectomy
pharynx pharyngectomy mastoid mastoidectomy
pharynx pharyngectomy tonsil tonsillectomy
hypophysis hypophysectomy prostate prostatectomy
hypophysis hypophysectomy spleen splenectomy
hypophysis hypophysectomy stomach gastrectomy
hypophysis hypophysectomy thymus thymectomy
hypophysis hypophysectomy thyroid thyroidectomy
hypophysis hypophysectomy tongue glossectomy
hypophysis hypophysectomy uterus hysterectomy
hypophysis hypophysectomy vas-deferens vasectomy
hypophysis hypophysectomy mastoid mastoidectomy
hypophysis hypophysectomy tonsil tonsillectomy
prostate prostatectomy spleen splenectomy
prostate prostatectomy stomach gastrectomy
prostate prostatectomy thymus thymectomy
prostate prostatectomy thyroid thyroidectomy
prostate prostatectomy tongue glossectomy
prostate prostatectomy uterus hysterectomy
prostate prostatectomy vas-deferens vasectomy
prostate prostatectomy mastoid mastoidectomy
prostate prostatectomy tonsil tonsillectomy
spleen splenectomy stomach gastrectomy
spleen splenectomy thymus thymectomy
spleen splenectomy thyroid thyroidectomy
spleen splenectomy tongue glossectomy
spleen splenectomy uterus hysterectomy
spleen splenectomy vas-deferens vasectomy
spleen splenectomy mastoid mastoidectomy
spleen splenectomy tonsil tonsillectomy
stomach gastrectomy thymus thymectomy
stomach gastrectomy thyroid thyroidectomy
stomach gastrectomy tongue glossectomy
stomach gastrectomy uterus hysterectomy
stomach gastrectomy vas-deferens vasectomy
stomach gastrectomy mastoid mastoidectomy
stomach gastrectomy tonsil tonsillectomy
thymus thymectomy thyroid thyroidectomy
thymus thymectomy tongue glossectomy
thymus thymectomy uterus hysterectomy
thymus thymectomy vas-deferens vasectomy
thymus thymectomy mastoid mastoidectomy
thymus thymectomy tonsil tonsillectomy
thyroid thyroidectomy tongue glossectomy
thyroid thyroidectomy uterus hysterectomy
thyroid thyroidectomy vas-deferens vasectomy
thyroid thyroidectomy mastoid mastoidectomy
thyroid thyroidectomy tonsil tonsillectomy
tongue glossectomy uterus hysterectomy
tongue glossectomy vas-deferens vasectomy
tongue glossectomy mastoid mastoidectomy
tongue glossectomy tonsil tonsillectomy
uterus hysterectomy vas-deferens vasectomy
uterus hysterectomy mastoid mastoidectomy
uterus hysterectomy tonsil tonsillectomy
vas-deferens vasectomy mastoid mastoidectomy
vas-deferens vasectomy tonsil tonsillectomy
mastoid mastoidectomy tonsil tonsillectomy
